33900,Tasas por alquiler de espacios públicos,6,35005,35011,26945
34300,Senderismo,4000,0,4000,7594
34400,Precios publicos de Espectaculos,6,106521.04,106527.04,108328.76
34900,Escuela municipal de Musica y Danza de Arona,140000,0,140000,175241.62
34901,Cursos y Talleres personal adscrito al Patronato,60000,0,60000,42610.31
34902,Precios cursos y talleres por servicio,5.05,178853.19,178858.24,187403.19
38000,Reintegro de Presupuesto Cerrado,0,0,0,0
38900,Reintegro presupuesto corriente,3,0,3,33.32
39901,Recursos Eventuales.,500,0,500,7811.5
39902,Tasa prestación servicios en Istalaciones Cult.,0,0,0,0
40000,Transferencias del Ayuntamiento,2402141.95,0,2402141.95,2402141.95
45080,Subvenciones CCAA,6,0,6,0
46100,"De Diputaciones, Consejos o Cabildos",6,59824.47,59830.47,0
52700,Intereses de depósito,6,0,6,61.45
83001,Anticipos personal,0,9700,9700,13100
83100,Anticipos al Personal,0,25200,25200,21600
87010,Remanente Tesorería Gastos Financiación Afectada,0,86900.75,86900.75,0
,,2606680,502004.45,3108684.45,2992871.1
